"Name","Vetic Variant ID","Clinic ID","Clinic Name","Mapped Clinic Name","In Hand Quantity","Bad Inventory Count","Priority"
"Fipronil S methoprene Fiprofort plus Cat and Kitten - 0.5mL - per pipette","40e8784e-dae9-4963-a834-9c553646eac8","adc0b1de-bae8-4b42-818c-d8d5486af130","Blue7Vets, Borivali, Mumbai","Borivali","17","4","Very High"
"Fipronil S methoprene Fiprofort plus Cat and Kitten - 0.5mL - per pipette","40e8784e-dae9-4963-a834-9c553646eac8","62227c45-c782-4feb-b5e2-112679c10f76","Doggy World, Paschim Vihar","Paschim Vihar","3","4","Very High"
"Fipronil S methoprene Fiprofort plus Cat and Kitten - 0.5mL - per pipette","40e8784e-dae9-4963-a834-9c553646eac8","9805d59b-7552-41d0-a161-7b4837b04999","InventoryDemo - Clinic","InventoryDemo - Clinic","8","4","Very High"
"Fipronil S methoprene Fiprofort plus Cat and Kitten - 0.5mL - per pipette","40e8784e-dae9-4963-a834-9c553646eac8","581fd531-5ccc-4618-8a7e-0ceecaba7897","Vetic , Southern Avenue, Kolkata","Southern Avenue","21","4","Very High"
"Fipronil S methoprene Fiprofort plus Cat and Kitten - 0.5mL - per pipette","40e8784e-dae9-4963-a834-9c553646eac8","e1c3fc5c-f398-4d3f-ad3e-872d313fd39b","Vetic Pet Care Goregaon, Mumbai","Goregaon","8","4","Very High"
"Fipronil S methoprene Fiprofort plus Cat and Kitten - 0.5mL - per pipette","40e8784e-dae9-4963-a834-9c553646eac8","b3694e6b-420a-4209-a16c-40b3640e1b31","Vetic Pet Care, Dwarka Sector 17, New Delhi","Dwarka Sector 17","4","4","Very High"
"Fipronil S methoprene Fiprofort plus Cat and Kitten - 0.5mL - per pipette","40e8784e-dae9-4963-a834-9c553646eac8","cf8ceb51-bed9-4f6b-b180-f1d1bc610b68","Vetic Pet Care, Mulund, Mumbai","Mulund","3","4","Very High"
"Fipronil S methoprene Fiprofort plus Cat and Kitten - 0.5mL - per pipette","40e8784e-dae9-4963-a834-9c553646eac8","e3f75cd6-29e6-4d1c-bad0-5153e9a49140","Vetic Pet Care, Powai, Mumbai","Powai","6","4","Very High"
"Fipronil S methoprene Fiprofort plus Cat and Kitten - 0.5mL - per pipette","40e8784e-dae9-4963-a834-9c553646eac8","2baedc1f-24c3-4309-b8c4-b41b49e3dee7","Vetic Pet Care, SDA Market, New Delhi","SDA Market","5","4","Very High"
"Fipronil S methoprene Fiprofort plus Cat and Kitten - 0.5mL - per pipette","40e8784e-dae9-4963-a834-9c553646eac8","4ba77b43-6fb4-4181-be85-9562184ebc18","Vetic Pet Care, Sector 82A, Gurugram","GGN82A","9","4","Very High"
